Year,LocationAbbr,LocationDesc,Class,Topic,Question,Data_Value,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,TopicID,QuestionID,StratificationCategory1,Stratification1
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,25.2,339,,18 - 24,,,,,OWS1,Q037,Age (years),18 - 24
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.8,555,,25 - 34,,,,,OWS1,Q037,Age (years),25 - 34
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.5,588,,35 - 44,,,,,OWS1,Q037,Age (years),35 - 44
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34,774,,45 - 54,,,,,OWS1,Q037,Age (years),45 - 54
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,39.5,879,,55 - 64,,,,,OWS1,Q037,Age (years),55 - 64
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.8,"1,348",,65 or older,,,,,OWS1,Q037,Age (years),65 or older
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,38,"1,631",,,College graduate,,,,OWS1,Q037,Education,College graduate
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,33.7,"1,145",,,High school graduate,,,,OWS1,Q037,Education,High school graduate
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,33.2,442,,,Less than high school,,,,OWS1,Q037,Education,Less than high school
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,33.8,"1,261",,,Some college or technical school,,,,OWS1,Q037,Education,Some college or technical school
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,29.3,"2,397",,,,Female,,,OWS1,Q037,Gender,Female
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,40.3,"2,085",,,,Male,,,OWS1,Q037,Gender,Male
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,30.9,692,,,,,"$15,000 - $24,999",,OWS1,Q037,Income,"$15,000 - $24,999"
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,30.7,458,,,,,"$25,000 - $34,999",,OWS1,Q037,Income,"$25,000 - $34,999"
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.5,529,,,,,"$35,000 - $49,999",,OWS1,Q037,Income,"$35,000 - $49,999"
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,37.7,605,,,,,"$50,000 - $74,999",,OWS1,Q037,Income,"$50,000 - $74,999"
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,38.1,"1,101",,,,,"$75,000 or greater",,OWS1,Q037,Income,"$75,000 or greater"
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.4,697,,,,,Data not reported,,OWS1,Q037,Income,Data not reported
